934,"4A_301A"
942,"4A_301A"
1249,"4A_301A"
1360,"4A_301A"
1477,"4A_301A"
133,"4A_301B"
383,"4A_301B"
444,"4A_301B"
988,"4A_301B"
1058,"4A_301B"
450,"4A_302A"
490,"4A_302A"
848,"4A_302A"
927,"4A_302A"
1465,"4A_302A"
175,"4A_302B"
423,"4A_302B"
800,"4A_302B"
1001,"4A_302B"
1260,"4A_302B"
11,"4A_302C"
226,"4A_302C"
424,"4A_302C"
855,"4A_302C"
1438,"4A_302C"
224,"4A_303"
505,"4A_303"
521,"4A_303"
541,"4A_303"
560,"4A_303"
325,"4A_304"
553,"4A_304"
580,"4A_304"
586,"4A_304"
610,"4A_304"
698,"4A_304"
765,"4A_304"
840,"4A_304"
900,"4A_304"
1376,"4A_304"
1508,"4A_304"
1560,"4A_304"
1570,"4A_304"
1576,"4A_304"
1577,"4A_304"
1606,"4A_304"
1609,"4A_304"
7,"4A_305A"
294,"4A_305A"
672,"4A_305A"
706,"4A_305A"
1045,"4A_305A"
72,"4A_305B"
136,"4A_305B"
302,"4A_305B"
1056,"4A_305B"
363,"4A_306A"
460,"4A_306A"
1114,"4A_306A"
1343,"4A_306A"
1444,"4A_306A"
666,"4A_306B"
918,"4A_306B"
952,"4A_306B"
1066,"4A_306B"
1432,"4A_306B"
60,"4A_BalC"
853,"4A_BalC"
870,"4A_BalC"
937,"4A_BalC"
265,"4B_301A"
411,"4B_301A"
474,"4B_301A"
486,"4B_301A"
830,"4B_301A"
774,"4B_301B"
895,"4B_301B"
1294,"4B_301B"
1373,"4B_301B"
420,"4B_302A"
754,"4B_302A"
1234,"4B_302A"
1367,"4B_302A"
1502,"4B_302A"
630,"4B_302B"
1217,"4B_302B"
1354,"4B_302B"
1448,"4B_302B"
1505,"4B_302B"
595,"4B_302C"
652,"4B_302C"
829,"4B_302C"
857,"4B_302C"
1276,"4B_302C"
880,"4B_303"
1024,"4B_303"
1196,"4B_303"
1198,"4B_303"
1461,"4B_303"
284,"4B_304"
337,"4B_304"
359,"4B_304"
752,"4B_304"
756,"4B_304"
1005,"4B_304"
1297,"4B_304"
1504,"4B_304"
1517,"4B_304"
1553,"4B_304"
1573,"4B_304"
1592,"4B_304"
1630,"4B_304"
1639,"4B_304"
614,"4B_305A"
831,"4B_305A"
1016,"4B_305A"
1074,"4B_305A"
1226,"4B_305A"
57,"4B_305B"
135,"4B_305B"
451,"4B_305B"
747,"4B_305B"
1233,"4B_305B"
67,"4B_306A"
357,"4B_306A"
572,"4B_306A"
964,"4B_306A"
1351,"4B_306A"
684,"4B_306B"
732,"4B_306B"
751,"4B_306B"
825,"4B_306B"
1267,"4B_306B"
168,"4B_BalC"
1176,"4B_BalC"
1191,"4B_BalC"
42,"4C_301A"
266,"4C_301A"
491,"4C_301A"
1395,"4C_301A"
1509,"4C_301A"
2,"4C_301B"
139,"4C_301B"
693,"4C_301B"
862,"4C_301B"
1025,"4C_301B"
24,"4C_302A"
210,"4C_302A"
278,"4C_302A"
392,"4C_302A"
481,"4C_302A"
43,"4C_302B"
142,"4C_302B"
216,"4C_302B"
467,"4C_302B"
1458,"4C_302B"
518,"4C_302C"
604,"4C_302C"
893,"4C_302C"
908,"4C_302C"
1381,"4C_302C"
83,"4C_303"
368,"4C_303"
574,"4C_303"
1339,"4C_303"
313,"4C_305A"
465,"4C_305A"
1130,"4C_305A"
1507,"4C_305A"
1536,"4C_305A"
95,"4C_305B"
267,"4C_305B"
644,"4C_305B"
1302,"4C_305B"
1516,"4C_305B"
217,"4C_306A"
452,"4C_306A"
986,"4C_306A"
1022,"4C_306A"
1318,"4C_306A"
358,"4C_306B"
755,"4C_306B"
777,"4C_306B"
1269,"4C_306B"
1419,"4C_306B"
68,"4C_BalC"
88,"4C_BalC"
393,"4C_BalC"
1640,"4C_BalC"
204,"4D_301A"
289,"4D_301A"
770,"4D_301A"
863,"4D_301A"
885,"4D_301A"
80,"4D_301B"
277,"4D_301B"
539,"4D_301B"
962,"4D_301B"
1006,"4D_301B"
564,"4D_302A"
640,"4D_302A"
879,"4D_302A"
1142,"4D_302A"
1429,"4D_302A"
223,"4D_302B"
459,"4D_302B"
838,"4D_302B"
1221,"4D_302B"
1236,"4D_302B"
436,"4D_302C"
722,"4D_302C"
781,"4D_302C"
954,"4D_302C"
1141,"4D_302C"
54,"4D_303"
875,"4D_303"
929,"4D_303"
1263,"4D_303"
1548,"4D_303"
32,"4D_305A"
668,"4D_305A"
1182,"4D_305A"
1200,"4D_305A"
1382,"4D_305A"
271,"4D_305B"
506,"4D_305B"
588,"4D_305B"
977,"4D_305B"
1416,"4D_305B"
28,"4D_306A"
433,"4D_306A"
782,"4D_306A"
1127,"4D_306A"
1478,"4D_306A"
279,"4D_306B"
370,"4D_306B"
651,"4D_306B"
1071,"4D_306B"
1214,"4D_306B"
165,"4D_BalC"
1398,"4D_BalC"
1581,"4D_BalC"
1675,"ievobioB_402"
234,"ievobioC_402"
321,"ievobioC_402"
663,"ievobioC_402"
760,"ievobioC_402"
1023,"ievobioC_402"
1029,"ievobioC_402"
1144,"ievobioC_402"
1166,"ievobioC_402"
1290,"ievobioC_402"
56,"ievobioE_402"
522,"ievobioE_402"
1107,"ievobioE_402"
1174,"ievobioE_402"
1219,"ievobioE_402"
1460,"ievobioE_402"
1627,"ievobioE_402"
1654,"ievobioE_402"
1673,"ievobioE_402"
1674,"ievobioE_402"
1676,"ievobioE_402"
1678,"ievobioE_402"
519,"ievobioG_402"
1159,"ievobioG_402"
1204,"ievobioG_402"
1246,"ievobioG_402"
1248,"ievobioG_402"
1328,"ievobioG_402"
1340,"ievobioG_402"
1430,"ievobioG_402"
